device_eui,name,time,position,message_id
000DB53906643664,admin,2017-09-12T14:08:44.250Z,"{""latitude"":1.3215519999999998,""longitude"":104.02260799999999}",-1
000DB539066E3654,admin,2017-09-12T14:15:14.307Z,"{""latitude"":1.321032,""longitude"":104.02829}",-1
000DB53904663660,admin,2017-09-12T14:18:49.635Z,"{""latitude"":1.319818,""longitude"":104.024295}",-1
000DB53906623658,admin,2017-09-12T14:47:40.288Z,"{""latitude"":1.3199319999999999,""longitude"":104.02392499999999}",-1
000DB53908603666,admin,2017-09-12T14:54:00.215Z,"{""latitude"":1.3199779999999999,""longitude"":104.023907}",-1
000DB53906643664,admin,2017-09-12T15:17:43.935Z,"{""latitude"":1.321267,""longitude"":104.022078}",-1
000DB53905613665,admin,2017-09-12T15:35:22.434Z,"{""latitude"":1.3212979999999999,""longitude"":104.02264199999999}",-1
000DB5390851366B,admin,2017-09-12T16:05:33.998Z,"{""latitude"":1.320017,""longitude"":104.021548}",-1
000DB53906623658,admin,2017-09-12T16:10:40.946Z,"{""latitude"":1.3199649999999998,""longitude"":104.02389199999999}",-1
000DB5320A70344D,admin,2017-09-12T16:26:03.889Z,"{""latitude"":1.321718,""longitude"":104.02265}",-1
000DB53906713658,admin,2017-09-13T07:39:25.512Z,"{""latitude"":1.318003,""longitude"":104.015317}",-1
000DB53904663660,admin,2017-09-13T07:57:03.713Z,"{""latitude"":1.3211579999999998,""longitude"":104.02188199999999}",-1
000DB5320A70344D,admin,2017-09-13T08:47:59.052Z,"{""latitude"":1.321442,""longitude"":104.022222}",-1
000DB53905613665,admin,2017-09-13T08:55:06.124Z,"{""latitude"":1.321353,""longitude"":104.022432}",-1
000DB5320A70344D,admin,2017-09-13T09:48:58.784Z,"{""latitude"":1.32133,""longitude"":104.022213}",-1
000DB53906643664,admin,2017-09-13T09:50:06.865Z,"{""latitude"":1.319588,""longitude"":104.023918}",-1
000DB53905613665,admin,2017-09-13T10:03:05.807Z,"{""latitude"":1.321518,""longitude"":104.02240499999999}",-1
000DB5320A70344D,admin,2017-09-13T10:54:58.482Z,"{""latitude"":1.321208,""longitude"":104.02234299999999}",-1
000DB53906643664,admin,2017-09-13T11:11:06.404Z,"{""latitude"":1.322002,""longitude"":104.02260799999999}",-1
000DB539055C3669,admin,2017-09-13T11:40:29.523Z,"{""latitude"":1.322917,""longitude"":104.02349699999999}",-1
000DB53905613665,admin,2017-09-13T11:43:05.323Z,"{""latitude"":1.32142,""longitude"":104.022403}",-1
000DB5390862366B,admin,2017-09-13T11:44:41.217Z,"{""latitude"":1.3227799999999998,""longitude"":104.02369}",-1
000DB5390663365D,admin,2017-09-13T11:58:52.974Z,"{""latitude"":1.321928,""longitude"":104.022578}",-1
000DB53906713658,admin,2017-09-13T12:00:24.377Z,"{""latitude"":1.3219379999999998,""longitude"":104.022015}",-1
000DB539035D3678,admin,2017-09-13T12:28:05.962Z,"{""latitude"":1.322797,""longitude"":104.02372}",-1
000DB5320A70344D,admin,2017-09-13T12:34:58.046Z,"{""latitude"":1.322033,""longitude"":104.021925}",-1
000DB5390860366D,admin,2017-09-13T12:37:14.963Z,"{""latitude"":1.322782,""longitude"":104.023973}",-1
000DB5390668365C,admin,2017-09-13T12:38:59.070Z,"{""latitude"":1.32293,""longitude"":104.023817}",-1
000DB53905613665,admin,2017-09-13T12:46:05.019Z,"{""latitude"":1.321383,""longitude"":104.022587}",-1
000DB53906603659,admin,2017-09-13T12:58:13.042Z,"{""latitude"":1.323095,""longitude"":104.02413999999999}",-1
000DB5390663365D,admin,2017-09-13T13:08:52.658Z,"{""latitude"":1.3219379999999998,""longitude"":104.022555}",-1
000DB539035D3678,admin,2017-09-13T13:30:05.686Z,"{""latitude"":1.323187,""longitude"":104.02394799999999}",-1
000DB53906713658,admin,2017-09-13T13:33:24.005Z,"{""latitude"":1.321497,""longitude"":104.022598}",-1
000DB5390663365D,admin,2017-09-13T14:19:53.856Z,"{""latitude"":1.3230199999999999,""longitude"":104.02328299999999}",-1
000DB53905613665,admin,2017-09-13T14:22:04.569Z,"{""latitude"":1.32117,""longitude"":104.022598}",-1
000DB53906713658,admin,2017-09-13T15:09:23.642Z,"{""latitude"":1.322872,""longitude"":104.02421299999999}",-1
000DB53905613665,admin,2017-09-13T15:49:04.802Z,"{""latitude"":1.321248,""longitude"":104.022318}",-1
000DB5320A70344D,admin,2017-09-13T16:02:57.333Z,"{""latitude"":1.322272,""longitude"":104.022542}",-1
000DB5390663365D,admin,2017-09-13T16:04:53.372Z,"{""latitude"":1.3177379999999999,""longitude"":104.021868}",-1
000DB5390374367C,admin,2017-09-14T07:52:24.683Z,"{""latitude"":1.318585,""longitude"":104.020867}",-1
000DB5390668365C,admin,2017-09-14T07:52:32.187Z,"{""latitude"":1.319327,""longitude"":104.02125199999999}",-1
000DB5390677365D,admin,2017-09-14T07:53:41.017Z,"{""latitude"":1.322158,""longitude"":104.022593}",-1
000DB539035D3678,admin,2017-09-14T08:02:03.907Z,"{""latitude"":1.322875,""longitude"":104.02336}",-1
000DB53908583675,admin,2017-09-14T08:39:20.478Z,"{""latitude"":1.321045,""longitude"":104.02243299999999}",-1
000DB5390677365D,admin,2017-09-14T09:03:40.687Z,"{""latitude"":1.321975,""longitude"":104.022493}",-1
000DB5390374367C,admin,2017-09-14T09:04:23.801Z,"{""latitude"":1.318382,""longitude"":104.02304699999999}",-1
000DB539035D3678,admin,2017-09-14T09:33:03.420Z,"{""latitude"":1.321302,""longitude"":104.02262499999999}",-1
000DB5390677365D,admin,2017-09-14T10:18:40.310Z,"{""latitude"":1.3221829999999999,""longitude"":104.022493}",-1
000DB5390668365C,admin,2017-09-14T10:46:31.362Z,"{""latitude"":1.322277,""longitude"":104.02229}",-1
000DB539035D3678,admin,2017-09-14T10:50:03.081Z,"{""latitude"":1.3214979999999998,""longitude"":104.022632}",-1
000DB5390374367C,admin,2017-09-14T10:51:23.323Z,"{""latitude"":1.321337,""longitude"":104.02230499999999}",-1
000DB5390654365B,admin,2017-09-14T12:35:32.285Z,"{""latitude"":1.322875,""longitude"":104.02367699999999}",-1
000DB539035D3678,admin,2017-09-14T12:46:02.567Z,"{""latitude"":1.3220269999999998,""longitude"":104.022618}",-1
000DB53908813667,admin,2017-09-14T12:47:27.932Z,"{""latitude"":1.323072,""longitude"":104.02393699999999}",-1
000DB5390851366B,admin,2017-09-14T12:51:12.338Z,"{""latitude"":1.3230419999999998,""longitude"":104.02394299999999}",-1
000DB5390668365C,admin,2017-09-14T13:35:30.686Z,"{""latitude"":1.321682,""longitude"":104.022227}",-1
000DB539035D3678,admin,2017-09-14T14:02:03.833Z,"{""latitude"":1.321807,""longitude"":104.022627}",-1
000DB5390374367C,admin,2017-09-14T14:05:24.078Z,"{""latitude"":1.321758,""longitude"":104.022528}",-1
000DB5390668365C,admin,2017-09-14T14:37:07.477Z,"{""latitude"":1.3216599999999998,""longitude"":104.022528}",-1
000DB5390851366B,admin,2017-09-14T22:51:11.487Z,"{""latitude"":1.3234,""longitude"":104.02474699999999}",-1
000DB53906693659,admin,2017-09-15T09:01:41.627Z,"{""latitude"":1.321632,""longitude"":104.02249499999999}",-1
000DB5390374367C,admin,2017-09-15T09:48:56.296Z,"{""latitude"":1.3216379999999999,""longitude"":104.02247299999999}",-1
000DB53905663661,admin,2017-09-15T10:04:27.323Z,"{""latitude"":1.3214169999999998,""longitude"":104.022573}",-1
000DB53908593665,admin,2017-09-15T10:10:13.733Z,"{""latitude"":1.321315,""longitude"":104.022562}",-1
000DB53908583675,admin,2017-09-15T10:58:20.697Z,"{""latitude"":1.321698,""longitude"":104.02256799999999}",-1
000DB53908593665,admin,2017-09-15T11:23:13.403Z,"{""latitude"":1.32137,""longitude"":104.022493}",-1
000DB53905663661,admin,2017-09-15T12:10:27.757Z,"{""latitude"":1.3214919999999999,""longitude"":104.022627}",-1
